cdn_num,neighbourhood_cleansed,former_city,,
1,Alderwood,Etobicoke,,
2,Edenbridge-Humber Valley,Etobicoke,,
3,Elms-Old Rexdale,Etobicoke,,
4,Eringate-Centennial-West Deane,Etobicoke,,
5,Etobicoke West Mall,Etobicoke,,
6,Humber Heights-Westmount,Etobicoke,,
7,Islington-City Centre West,Etobicoke,,
8,Kingsview Village-The Westway,Etobicoke,,
9,Kingsway South,Etobicoke,,
10,Long Branch,Etobicoke,,
11,Markland Wood,Etobicoke,,
12,Mimico (includes Humber Bay Shores),Etobicoke,,
13,Mount Olive-Silverstone-Jamestown,Etobicoke,,
14,New Toronto,Etobicoke,,
15,Princess-Rosethorn,Etobicoke,,
16,Rexdale-Kipling,Etobicoke,,
17,Stonegate-Queensway,Etobicoke,,
18,Thistletown-Beaumond Heights,Etobicoke,,
19,West Humber-Clairville,Etobicoke,,
20,Willowridge-Martingrove-Richview,Etobicoke,,
21,Banbury-Don Mills,North York,,
22,Bathurst Manor,North York,,
23,Bayview Village,North York,,
24,Bayview Woods-Steeles,North York,,
25,Bedford Park-Nortown,North York,,
26,Black Creek,North York,,
27,Bridle Path-Sunnybrook-York Mills,North York,,
28,Brookhaven-Amesbury,North York,,
29,Clanton Park,North York,,
30,Don Valley Village,North York,,
31,Downsview-Roding-CFB,North York,,
32,Englemount-Lawrence,North York,,
33,Flemingdon Park,North York,,
34,Glenfield-Jane Heights,North York,,
35,Henry Farm,North York,,
36,Hillcrest Village,North York,,
37,Humber Summit,North York,,
38,Humbermede,North York,,
39,Lansing-Westgate,North York,,
40,Maple Leaf,North York,,
41,Newtonbrook East,North York,,
42,Newtonbrook West,North York,,
43,Parkwoods-Donalda,North York,,
44,Pelmo Park-Humberlea,North York,,
45,Pleasant View,North York,,
46,Rustic,North York,,
47,St.Andrew-Windfields,North York,,
48,Taylor-Massey,North York,,
49,Victoria Village,North York,,
50,Westminster-Branson,North York,,
51,Willowdale East,North York,,
52,Willowdale West,North York,,
53,York University Heights,North York,,
54,Yorkdale-Glen Park,North York,,
55,Broadview North,East York,,
56,Danforth East York,East York,,
57,Leaside-Bennington,East York,,
58,O'Connor-Parkview,East York,,
59,Old East York,East York,,
60,Thorncliffe Park,East York,,
61,Woodbine-Lumsden,East York,,
62,Annex,Old City of Toronto,,
63,Bay Street Corridor,Old City of Toronto,,
64,Blake-Jones,Old City of Toronto,,
65,Cabbagetown-South St.James Town,Old City of Toronto,,
66,Casa Loma,Old City of Toronto,,
67,Church-Yonge Corridor,Old City of Toronto,,
68,Corso Italia-Davenport,Old City of Toronto,,
69,Danforth,Old City of Toronto,,
70,Dovercourt-Wallace Emerson-Junction,Old City of Toronto,,
71,Dufferin Grove,Old City of Toronto,,
72,East End-Danforth,Old City of Toronto,,
73,Forest Hill North,Old City of Toronto,,
74,Forest Hill South,Old City of Toronto,,
75,Greenwood-Coxwell,Old City of Toronto,,
76,High Park North,Old City of Toronto,,
77,High Park-Swansea,Old City of Toronto,,
78,Junction Area,Old City of Toronto,,
79,Kensington-Chinatown,Old City of Toronto,,
80,Lawrence Park North,Old City of Toronto,,
81,Lawrence Park South,Old City of Toronto,,
82,Little Portugal,Old City of Toronto,,
83,Moss Park,Old City of Toronto,,
84,Mount Pleasant East,Old City of Toronto,,
85,Mount Pleasant West,Old City of Toronto,,
86,Niagara,Old City of Toronto,,
87,North Riverdale,Old City of Toronto,,
88,North St.James Town,Old City of Toronto,,
89,Palmerston-Little Italy,Old City of Toronto,,
90,Playter Estates-Danforth,Old City of Toronto,,
91,Regent Park,Old City of Toronto,,
92,Roncesvalles,Old City of Toronto,,
93,Rosedale-Moore Park,Old City of Toronto,,
94,Runnymede-Bloor West Village,Old City of Toronto,,
95,South Parkdale,Old City of Toronto,,
96,South Riverdale,Old City of Toronto,,
97,The Beaches,Old City of Toronto,,
98,Trinity-Bellwoods,Old City of Toronto,,
99,University,Old City of Toronto,,
100,Waterfront Communities-The Island,Old City of Toronto,,
101,Weston-Pellam Park,Old City of Toronto,,
102,Woodbine Corridor,Old City of Toronto,,
103,Wychwood,Old City of Toronto,,
104,Yonge-Eglinton,Old City of Toronto,,
105,Yonge-St.Clair,Old City of Toronto,,
106,Beechborough-Greenbrook,York,,
107,Briar Hill-Belgravia,York,,
108,Caledonia-Fairbank,York,,
109,Humewood-Cedarvale,York,,
110,Keelesdale-Eglinton West,York,,
111,Lambton Baby Point,York,,
112,Mount Dennis,York,,
113,Oakwood Village,York,,
114,Rockcliffe-Smythe,York,,
115,Weston,York,,
116,Agincourt North,Scarborough,,
117,Agincourt South-Malvern West,Scarborough,,
118,Bendale,Scarborough,,
119,Birchcliffe-Cliffside,Scarborough,,
120,Centennial Scarborough,Scarborough,,
121,Clairlea-Birchmount,Scarborough,,
122,Cliffcrest,Scarborough,,
123,Dorset Park,Scarborough,,
124,Eglinton East,Scarborough,,
125,Guildwood,Scarborough,,
126,Highland Creek,Scarborough,,
127,Ionview,Scarborough,,
128,Kennedy Park,Scarborough,,
129,L'Amoreaux,Scarborough,,
130,Malvern,Scarborough,,
131,Milliken,Scarborough,,
132,Morningside,Scarborough,,
133,Oakridge,Scarborough,,
134,Rouge,Scarborough,,
135,Scarborough Village,Scarborough,,
136,Steeles,Scarborough,,
137,Tam O'Shanter-Sullivan,Scarborough,,
138,West Hill,Scarborough,,
139,Wexford/Maryvale,Scarborough,,
140,Woburn,Scarborough,,
